"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
93,"void ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs>(ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs) [clone .kd]",2,0,96,284034,284034,311296,1024,0,0,8,0,16,64,"0x0","0x7f273039b0c0",429844547388423,429844563925953,429844563931241,429844563942689,5288
94,"void ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs) [clone .kd]",2,0,97,284034,284034,155648,256,0,0,32,0,48,64,"0x0","0x7f273039b780",429844547398308,429844563931241,429844563936489,429844563948838,5248
95,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,98,284034,284034,65536,256,512,0,20,4,32,64,"0x0","0x7f273039b7c0",429844547406761,429844563936489,429844563941496,429844563954736,5007
96,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,99,284034,284034,221184,256,4096,0,64,0,80,64,"0x0","0x7f273039b2c0",429844547414853,429844563941496,429844563969338,429844563974156,27842
97,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,100,284034,284034,1572864,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547435594,429844563969338,429844563980594,429844563980705,11256
98,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,101,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547449144,429844563980594,429844564001385,429844564018642,20791
99,"hk_moe_stage1_fp8_fused_act_kernel(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, __hip_bfloat16*, int const*, int const*, int const*, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,102,284034,284034,786432,512,25600,0,120,0,48,64,"0x0","0x7f2f30671fc0",429844547464677,429844564001385,429844566657586,429844566667994,2656201
100,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>) [clone .kd]",2,0,103,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2e5c0",429844547475012,429844566657586,429844566696123,429844566704709,38537
101,"hk_moe_stage2_fp8_kernel_mma(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, float*, int const*, int const*, int const*, float const*, int, int, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,104,284034,284034,22020096,512,32768,0,76,4,48,64,"0x0","0x7f2f30652680",429844547485078,429844566696123,429844569551581,429844569558206,2855458
102,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>) [clone .kd]",2,0,105,284034,284034,3670016,256,0,0,28,4,32,64,"0x0","0x7eef1586b580",429844547497075,429844569551581,429844569628335,429844569630934,76754
103,"void ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs>(ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs) [clone .kd]",2,0,106,284034,284034,311296,1024,0,0,8,0,16,64,"0x0","0x7f273039b0c0",429844547542063,429844569628335,429844569633663,429844569637484,5328
104,"void ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs) [clone .kd]",2,0,107,284034,284034,155648,256,0,0,32,0,48,64,"0x0","0x7f273039b780",429844547556845,429844569633663,429844569639071,429844569643923,5408
105,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,108,284034,284034,65536,256,512,0,20,4,32,64,"0x0","0x7f273039b7c0",429844547565227,429844569639071,429844569644079,429844569649572,5008
106,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,109,284034,284034,221184,256,4096,0,64,0,80,64,"0x0","0x7f273039b2c0",429844547574211,429844569644079,429844569671720,429844569681189,27641
107,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,110,284034,284034,1572864,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547598657,429844569671720,429844569683337,429844569688160,11617
108,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,111,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547615722,429844569683337,429844569704329,429844569705215,20992
109,"hk_moe_stage1_fp8_fused_act_kernel(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, __hip_bfloat16*, int const*, int const*, int const*, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,112,284034,284034,786432,512,25600,0,120,0,48,64,"0x0","0x7f2f30671fc0",429844547625096,429844569704329,429844572285618,429844572293236,2581289
110,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>) [clone .kd]",2,0,113,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2e5c0",429844547635742,429844572285618,429844572323474,429844572331473,37856
111,"hk_moe_stage2_fp8_kernel_mma(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, float*, int const*, int const*, int const*, float const*, int, int, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,114,284034,284034,22020096,512,32768,0,76,4,48,64,"0x0","0x7f2f30652680",429844547647440,429844572323474,429844575146683,429844575151780,2823209
112,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>) [clone .kd]",2,0,115,284034,284034,3670016,256,0,0,28,4,32,64,"0x0","0x7eef1586b580",429844547658997,429844575146683,429844575225601,429844575231559,78918
113,"void ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs>(ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingClearWorkspaceProblem<false, 1024, 1> >::Kargs) [clone .kd]",2,0,116,284034,284034,311296,1024,0,0,8,0,16,64,"0x0","0x7f273039b0c0",429844547702061,429844575225601,429844575230809,429844575237949,5208
114,"void ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 4, false, false, true> >::Kargs) [clone .kd]",2,0,117,284034,284034,155648,256,0,0,32,0,48,64,"0x0","0x7f273039b780",429844547715842,429844575230809,429844575236057,429844575247743,5248
115,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,118,284034,284034,65536,256,512,0,20,4,32,64,"0x0","0x7f273039b7c0",429844547725326,429844575236057,429844575240904,429844575253472,4847
116,"void ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs>(ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingProblemMp<int, float, unsigned char, 16, false, false, true> >::Kargs) [clone .kd]",2,0,119,284034,284034,221184,256,4096,0,64,0,80,64,"0x0","0x7f273039b2c0",429844547739417,429844575240904,429844575268425,429844575269395,27521
117,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,120,284034,284034,1572864,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547759837,429844575268425,429844575279882,429844575285550,11457
118,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>) [clone .kd]",2,0,121,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2f180",429844547776422,429844575279882,429844575300673,429844575301303,20791
119,"hk_moe_stage1_fp8_fused_act_kernel(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, __hip_bfloat16*, int const*, int const*, int const*, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,122,284034,284034,786432,512,25600,0,120,0,48,64,"0x0","0x7f2f30671fc0",429844547785085,429844575300673,429844578001941,429844578003404,2701268
120,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>) [clone .kd]",2,0,123,284034,284034,3670016,256,0,0,12,4,32,64,"0x0","0x7f272bf2e5c0",429844547801479,429844578001941,429844578040398,429844578041190,38457
121,"hk_moe_stage2_fp8_kernel_mma(__hip_bfloat16 const*, __hip_fp8_e4m3_fnuz const*, float const*, float*, int const*, int const*, int const*, float const*, int, int, int, int, int, int, int, int, int, int, int, int) [clone .kd]",2,0,124,284034,284034,22020096,512,32768,0,76,4,48,64,"0x0","0x7f2f30652680",429844547811885,429844578040398,429844580861124,429844580868298,2820726
122,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>) [clone .kd]",2,0,125,284034,284034,3670016,256,0,0,28,4,32,64,"0x0","0x7eef1586b580",429844547829652,429844580861124,429844580939320,429844580944331,78196
